NAME,NSECode,Industry
SANSERA ENGINEERING LIMITED,SANSERA,AUTO ANCILLARIES
CARBORUNDUM UNIVERSAL LTD.,CARBORUNIV,Abrasives And Grinding Wheels
WELCAST STEELS LTD.,ZWELCAST,Abrasives And Grinding Wheels
WENDT (INDIA) LTD.,WENDT,Abrasives And Grinding Wheels
ORIENT ABRASIVES LTD.,ORIENTABRA,Abrasives And Grinding Wheels
GRINDWELL NORTON LTD.,GRINDWELL,Abrasives And Grinding Wheels
CYBER MEDIA RESEARCH & SERVICES LIMITED,CMRSL,Advertising & Media Agencies
CRAYONS ADVERTISING LIMITED,CRAYONS,Advertising & Media Agencies
Ideaforge Technology Ltd,IDEAFORGE,Aerospace & Defense
DCX SYSTEMS LIMITED,DCXINDIA,Aerospace & Defense
KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED,KRISHNADEF,Aerospace & Defense
BLUE STAR LTD.,BLUESTARCO,Air-conditioners
JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD,JCHAC,Air-conditioners
VOLTAS LTD.,VOLTAS,Air-conditioners
MAAN ALUMINIUM LTD.,MAANALU,Aluminium and Aluminium Products
HIND ALUMINIUM INDUSTRIES LTD.,HINDALUMI,Aluminium and Aluminium Products
PG FOILS LTD.,PGFOILQ,Aluminium and Aluminium Products
NATIONAL ALUMINIUM CO.LTD.,NATIONALUM,Aluminium and Aluminium Products
MMP INDUSTRIES,MMP,Aluminium and Aluminium Products
APEX FROZEN FOODS LTD,APEX,Aquaculture
SURYO FOODS & INDUSTRIES LTD.,SURFI,Aquaculture
WATERBASE LTD.,WATERBASE,Aquaculture
Landmark Cars Ltd,LANDMARK,Auto -Dealer
SUPRAJIT ENGINEERING LTD.,SUPRAJIT,Auto Ancillaries
PRECISION CAMSHAFTS LTD,PRECAM,Auto Ancillaries
BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,Auto Ancillaries
ENKEI WHEELS (INDIA) LTD.,ENKEIWHEL,Auto Ancillaries
JAMNA AUTO INDUSTRIES LTD.,JAMNAAUTO,Auto Ancillaries
TALBROS AUTOMOTIVE COMPONENTS LTD.,TALBROAUTO,Auto Ancillaries
CRAFTSMAN AUTOMATION LTD,CRAFTSMAN,Auto Ancillaries
ENDURANCE TECHNOLOGIES LTD,ENDURANCE,Auto Ancillaries
DUNCAN ENGINEERING LTD,DUNCANENG,Auto Ancillaries
GABRIEL INDIA LTD.,GABRIEL,Auto Ancillaries
JTEKT INDIA LTD,JTEKTINDIA,Auto Ancillaries
ALICON CASTALLOY LIMITED,ALICON,Auto Ancillaries
SUNDARAM BRAKE LININGS LTD.,SUNDRMBRAK,Auto Ancillaries
SINTERCOM INDIA,SINTERCOM,Auto Ancillaries
SUBROS LTD.,SUBROS,Auto Ancillaries
ROLEX RINGS LTD,ROLEXRINGS,Auto Ancillaries
INDIA MOTOR PARTS & ACCESSORIES LTD.,IMPAL,Auto Ancillaries
INDIA NIPPON ELECTRICALS LTD.,INDNIPPON,Auto Ancillaries
IGARASHI MOTORS INDIA LTD.,IGARASHI,Auto Ancillaries
RANE BRAKE LINING LTD.,RBL,Auto Ancillaries
SAMKRG PISTONS & RINGS LTD.,SAMKRG,Auto Ancillaries
AUTO PINS (INDIA) LTD.,AUTOPINS,Auto Ancillaries
HINDUSTAN HARDY LTD,HINDHARD,Auto Ancillaries
SAR AUTO PRODUCTS LTD,SAPL,Auto Ancillaries
AUTOMOBILE CORPORATION OF GOA LTD.,ACGL,Auto Ancillaries
AUTOMOTIVE AXLES LTD.,AUTOAXLES,Auto Ancillaries
AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,ASAL,Auto Ancillaries
SHANTHI GEARS LTD.,SHANTIGEAR,Auto Ancillaries
SHARDA MOTOR INDUSTRIES LTD,SHARDAMOTR,Auto Ancillaries
SHRIRAM PISTONS,SHRIPISTON,Auto Ancillaries
SIBAR AUTO PARTS LTD.,SIBARAUT,Auto Ancillaries
G N A AXLES LTD,GNA,Auto Ancillaries
JAGAN LAMPS LTD.,JAGANLAM,Auto Ancillaries
PRICOL LTD,PRICOLLTD,Auto Ancillaries
AMARA RAJA ENERGY & MOBILITY LIMITED,ARE&M,Auto Ancillaries
FRONTIER SPRINGS LTD.,FRONTSP,Auto Ancillaries
ATAM VALVES LTD,ATAM,Auto Ancillaries
MUNJAL SHOWA LTD.,MUNJALSHOW,Auto Ancillaries
L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,Auto Ancillaries
URAVI T AND WEDGE LAMPS LIMITED,URAVI,Auto Ancillaries
MINDA INDUSTRIES LTD.,MINDAIND,Auto Ancillaries
KINETIC ENGINEERING LTD.,KINETICENG,Auto Ancillaries
Z.F.STEERING GEAR (INDIA) LTD.,ZFSTEERING,Auto Ancillaries
ULTRA WIRING,UWCSL,Auto Ancillaries
FIEM INDUSTRIES LTD.,FIEMIND,Auto Ancillaries
VARROC ENGINEERING LTD,VARROC,Auto Ancillaries
MENON PISTONS LTD.,MENNPIS,Auto Ancillaries
EXIDE INDUSTRIES LTD.,EXIDEIND,Auto Ancillaries
FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE,Auto Ancillaries
BOSCH LTD.,BOSCHLTD,Auto Ancillaries
LUMAX INDUSTRIES LTD.,LUMAXIND,Auto Ancillaries
WABCO INDIA LTD.,WABCOINDIA,Auto Ancillaries
NDR AUTO COMPONENTS LTD,NDRAUTO,Auto Ancillaries
MINDA CORPORATION LTD,MINDACORP,Auto Ancillaries
Motherson Sumi Wiring India Ltd,MSUMI,Auto Components & Equipments
PRECISION METALIKS LIMITED,PRECISION,Auto Components & Equipments
UNO Minda Limited,UNOMINDA,Auto Components & Equipments
ASK Automotive Ltd,ASKAUTOLTD,Auto Components & Equipments
Divgi Torqtransfer Systems Ltd,DIVGIITTS,Auto Components & Equipments
S.J.S. Enterprises Ltd,SJS,Auto Parts & Equipment - Sticker
SML ISUZU LIMITED,SMLISUZU,Automobiles - LCVs / HCVs
EICHER MOTORS LTD.,EICHERMOT,Automobiles - Motorcycles / Mopeds
HERO MOTOCORP LTD.,HEROMOTOCO,Automobiles - Motorcycles / Mopeds
MARUTI SUZUKI INDIA LTD.,MARUTI,Automobiles - Passenger Cars
HINDUSTAN MOTORS LTD.,HINDMOTORS,Automobiles - Passenger Cars
BAJAJ AUTO LTD.,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers
SCOOTERS INDIA LTD.,SCOOTER,Automobiles - Scooters And 3 - Wheelers
V.S.T.TILLERS TRACTORS LTD.,VSTTILLERS,Automobiles - Tractors
ESCORTS LTD.,ESCORTS,Automobiles - Tractors
KANDARP DIGI SMART BPO LIMITED,KANDARP,BPO/KPO
Equippp Social Impact Technologies Limited,EQUIPPP,Base Material
ABM International Limited,ABMINTLLTD,Base Material
Somi Conveyor Beltings Limited,SOMICONVEY,Basic Materials
Antarctica Limited,ANTGRAPHIC,Basic Materials
Aether Industries Limited,AETHER,Basic Materials
Supreme Petrochem Limited,SPLPETRO,Basic Materials
Grand Foundry Limited,GFSTEELS,Basic Materials
NRB BEARINGS LTD.,NRBBEARING,Bearings
SCHAEFFLER INDIA LTD,SCHAEFFLER,Bearings
SKF INDIA LTD,SKFINDIA,Bearings
GALAXY BEARINGS LTD.,GALXBRG,Bearings
SNL BEARINGS LTD.,SNL,Bearings
TIMKEN INDIA LTD.,TIMKEN,Bearings
MENON BEARINGS LTD.,MENONBE,Bearings
AUSTIN ENGINEERING CO.LTD.,AUSTENG,Bearings
BIMETAL BEARINGS LTD.,BIMETAL,Bearings
SHANTI OVERSEAS (INDIA) LIMITED,SHANTI,CONSUMER FOOD
DYNAMIC CABLES LTD,DYCL,Cables - Power
FINOLEX CABLES LTD.,FINCABLES,Cables - Power
JIGAR CABLES LTD,JIGAR,Cables - Power
POLYCAB INDIA LTD,POLYCAB,Cables - Power
PARAMOUNT COMMUNICATIONS LTD.,PARACABLES,Cables - Power
RELICAB CABLE MANUFACTURING LTD,RELICAB,Cables - Power
ULTRACAB (INDIA) LTD,ULTRACAB,Cables - Power
B.C. POWER CONTROLS LTD,BCP,Cables - Power
KEI INDUSTRIES LTD.,KEI,Cables - Power
Plaza Wires Ltd,PLAZACABLE,Cables-Electricals
R R Kabel Ltd,RRKABLE,Cables-Electricals
Debock Industries Limited,DIL,Capital Goods
Jainam Ferro Alloys (I) Limited,JAINAM,Capital Goods
BEW Engineering Limited,BEWLTD,Capital Goods
MAHINDRA CIE AUTOMOTIVE LIMITED,MAHINDCIE,Castings & Forgings
DCM LTD.,DCM,Castings & Forgings
M.M.FORGINGS LTD.,MMFL,Castings & Forgings
TIRUPATI FORGE,TIRUPATIFL,Castings & Forgings
BHARAT FORGE LTD.,BHARATFORG,Castings & Forgings
CREATIVE CASTINGS LTD,CREATIVE,Castings & Forgings
PORWAL AUTO COMPONENTS LTD.,PORWAL,Castings & Forgings
GANGA FORGING,GANGAFORGE,Castings & Forgings
SMITHS & FOUNDERS (INDIA) LIMITED,SMFIL,Castings & Forgings
CAPTAIN TECHNOCAST LTD,CTCL,Castings & Forgings
LGB FORGE LTD.,LGBFORGE,Castings & Forgings
RAJKUMAR FORGE LTD.,RJKMRFR,Castings & Forgings
NITIN CASTINGS LTD,NITINCAST,Castings & Forgings
PTC INDUSTRIES LTD,PTCIL,Castings & Forgings
UNI ABEX ALLOY PRODUCTS LTD.,UNIABEXAL,Castings & Forgings
SONA BLW PRECISION FORGINGS LTD,SONACOMS,Castings & Forgings
BHAGWATI AUTOCAST LTD.,BGWTATO,Castings & Forgings
AIA ENGINEERING LTD.,AIAENG,Castings & Forgings
STEELCAST LTD.,STEELCAS,Castings & Forgings
MAGNA ELECTRO CASTINGS LTD.,MAGNAELQ,Castings & Forgings
NATIONAL FITTINGS LIMITED,NATFIT,Castings & Forgings
SAURASHTRA CEMENT LTD.,SAURASHCEM,Cement - North India
J.K.CEMENT LTD.,JKCEMENT,Cement - North India
SHREE DIGVIJAY CEMENT CO.LTD.,SHREDIGCEM,Cement - North India
HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,Cement - North India
AMBUJA CEMENTS LTD.,AMBUJACEM,Cement - North India
STAR CEMENT LTD,STARCEMENT,Cement - North India
SHREE CEMENT LTD.,SHREECEM,Cement - North India
ACC LTD.,ACC,Cement - North India
GUJARAT SIDHEE CEMENT LTD.,GSCLCEMENT,Cement - North India
ULTRATECH CEMENT LTD.,ULTRACEMCO,Cement - North India
JK LAKSHMI CEMENT LTD.,JKLAKSHMI,Cement - North India
NCL INDUSTRIES LTD.,NCLIND,Cement - South India
THE RAMCO CEMENTS LIMITED,RAMCOCEM,Cement - South India
DALMIA BHARAT LTD,DALBHARAT,Cement - South India
DECCAN CEMENTS LTD.,DECCANCE,Cement - South India
KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM,Cement - South India
BIGBLOC CONSTRUCTION LTD,BIGBLOC,Cement Products
SAHYADRI INDUSTRIES LTD.,SAHYADRI,Cement Products
EVEREST INDUSTRIES LTD.,EVERESTIND,Cement Products
VISAKA INDUSTRIES LTD.,VISAKAIND,Cement Products
RAMCO INDUSTRIES LTD.,RAMCOIND,Cement Products
HIL LTD.,HIL,Cement Products
KAJARIA CERAMICS LTD.,KAJARIACER,Ceramics - Tiles / Sanitaryware
ORIENT BELL LIMITED,ORIENTBELL,Ceramics - Tiles / Sanitaryware
CERA SANITARYWARE LTD.,CERA,Ceramics - Tiles / Sanitaryware
ACRYSIL LTD.,ACRYSIL,Ceramics - Tiles / Sanitaryware
SOMANY CERAMICS LTD.,SOMANYCERA,Ceramics - Tiles / Sanitaryware
EXXARO TILES LTD,EXXARO,Ceramics - Tiles / Sanitaryware
RITESH INTERNATIONAL LTD.,RITESHIN,Chemicals
COCHIN MINERALS & RUTILE LTD.,COCHINM,Chemicals
NATIONAL PEROXIDE LTD.,NATPEROX,Chemicals
TYCHE INDUSTRIES LTD.,TYCHE,Chemicals
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR,Chemicals
KANCHI KARPOORAM LTD,KANCHI,Chemicals
FOSECO INDIA LTD.,FOSECOIND,Chemicals
