NAME,NSECode,Industry
SANSERA ENGINEERING LIMITED,SANSERA,AUTO ANCILLARIES
CARBORUNDUM UNIVERSAL LTD.,CARBORUNIV,Abrasives And Grinding Wheels
WENDT (INDIA) LTD.,WENDT,Abrasives And Grinding Wheels
GRINDWELL NORTON LTD.,GRINDWELL,Abrasives And Grinding Wheels
Ideaforge Technology Ltd,IDEAFORGE,Aerospace & Defense
DCX SYSTEMS LIMITED,DCXINDIA,Aerospace & Defense
BLUE STAR LTD.,BLUESTARCO,Air-conditioners
JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD,JCHAC,Air-conditioners
VOLTAS LTD.,VOLTAS,Air-conditioners
MAAN ALUMINIUM LTD.,MAANALU,Aluminium and Aluminium Products
NATIONAL ALUMINIUM CO.LTD.,NATIONALUM,Aluminium and Aluminium Products
MMP INDUSTRIES,MMP,Aluminium and Aluminium Products
APEX FROZEN FOODS LTD,APEX,Aquaculture
Landmark Cars Ltd,LANDMARK,Auto -Dealer
SUPRAJIT ENGINEERING LTD.,SUPRAJIT,Auto Ancillaries
PRECISION CAMSHAFTS LTD,PRECAM,Auto Ancillaries
BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,Auto Ancillaries
JAMNA AUTO INDUSTRIES LTD.,JAMNAAUTO,Auto Ancillaries
TALBROS AUTOMOTIVE COMPONENTS LTD.,TALBROAUTO,Auto Ancillaries
CRAFTSMAN AUTOMATION LTD,CRAFTSMAN,Auto Ancillaries
ENDURANCE TECHNOLOGIES LTD,ENDURANCE,Auto Ancillaries
GABRIEL INDIA LTD.,GABRIEL,Auto Ancillaries
JTEKT INDIA LTD,JTEKTINDIA,Auto Ancillaries
ALICON CASTALLOY LIMITED,ALICON,Auto Ancillaries
SUNDARAM BRAKE LININGS LTD.,SUNDRMBRAK,Auto Ancillaries
SINTERCOM INDIA,SINTERCOM,Auto Ancillaries
SUBROS LTD.,SUBROS,Auto Ancillaries
ROLEX RINGS LTD,ROLEXRINGS,Auto Ancillaries
INDIA MOTOR PARTS & ACCESSORIES LTD.,IMPAL,Auto Ancillaries
INDIA NIPPON ELECTRICALS LTD.,INDNIPPON,Auto Ancillaries
IGARASHI MOTORS INDIA LTD.,IGARASHI,Auto Ancillaries
RANE BRAKE LINING LTD.,RBL,Auto Ancillaries
AUTOMOTIVE AXLES LTD.,AUTOAXLES,Auto Ancillaries
AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,ASAL,Auto Ancillaries
SHANTHI GEARS LTD.,SHANTIGEAR,Auto Ancillaries
SHARDA MOTOR INDUSTRIES LTD,SHARDAMOTR,Auto Ancillaries
SHRIRAM PISTONS,SHRIPISTON,Auto Ancillaries
G N A AXLES LTD,GNA,Auto Ancillaries
PRICOL LTD,PRICOLLTD,Auto Ancillaries
AMARA RAJA ENERGY & MOBILITY LIMITED,ARE&M,Auto Ancillaries
ATAM VALVES LTD,ATAM,Auto Ancillaries
MUNJAL SHOWA LTD.,MUNJALSHOW,Auto Ancillaries
L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,Auto Ancillaries
URAVI T AND WEDGE LAMPS LIMITED,URAVI,Auto Ancillaries
FIEM INDUSTRIES LTD.,FIEMIND,Auto Ancillaries
VARROC ENGINEERING LTD,VARROC,Auto Ancillaries
EXIDE INDUSTRIES LTD.,EXIDEIND,Auto Ancillaries
FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE,Auto Ancillaries
BOSCH LTD.,BOSCHLTD,Auto Ancillaries
LUMAX INDUSTRIES LTD.,LUMAXIND,Auto Ancillaries
NDR AUTO COMPONENTS LTD,NDRAUTO,Auto Ancillaries
MINDA CORPORATION LTD,MINDACORP,Auto Ancillaries
Motherson Sumi Wiring India Ltd,MSUMI,Auto Components & Equipments
UNO Minda Limited,UNOMINDA,Auto Components & Equipments
ASK Automotive Ltd,ASKAUTOLTD,Auto Components & Equipments
Divgi Torqtransfer Systems Ltd,DIVGIITTS,Auto Components & Equipments
S.J.S. Enterprises Ltd,SJS,Auto Parts & Equipment - Sticker
SML ISUZU LIMITED,SMLISUZU,Automobiles - LCVs / HCVs
EICHER MOTORS LTD.,EICHERMOT,Automobiles - Motorcycles / Mopeds
HERO MOTOCORP LTD.,HEROMOTOCO,Automobiles - Motorcycles / Mopeds
MARUTI SUZUKI INDIA LTD.,MARUTI,Automobiles - Passenger Cars
HINDUSTAN MOTORS LTD.,HINDMOTORS,Automobiles - Passenger Cars
BAJAJ AUTO LTD.,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers
V.S.T.TILLERS TRACTORS LTD.,VSTTILLERS,Automobiles - Tractors
ESCORTS LTD.,ESCORTS,Automobiles - Tractors
Equippp Social Impact Technologies Limited,EQUIPPP,Base Material
ABM International Limited,ABMINTLLTD,Base Material
Somi Conveyor Beltings Limited,SOMICONVEY,Basic Materials
Antarctica Limited,ANTGRAPHIC,Basic Materials
Aether Industries Limited,AETHER,Basic Materials
Supreme Petrochem Limited,SPLPETRO,Basic Materials
NRB BEARINGS LTD.,NRBBEARING,Bearings
SCHAEFFLER INDIA LTD,SCHAEFFLER,Bearings
SKF INDIA LTD,SKFINDIA,Bearings
TIMKEN INDIA LTD.,TIMKEN,Bearings
MENON BEARINGS LTD.,MENONBE,Bearings
SHANTI OVERSEAS (INDIA) LIMITED,SHANTI,CONSUMER FOOD
DYNAMIC CABLES LTD,DYCL,Cables - Power
FINOLEX CABLES LTD.,FINCABLES,Cables - Power
POLYCAB INDIA LTD,POLYCAB,Cables - Power
PARAMOUNT COMMUNICATIONS LTD.,PARACABLES,Cables - Power
KEI INDUSTRIES LTD.,KEI,Cables - Power
Plaza Wires Ltd,PLAZACABLE,Cables-Electricals
Debock Industries Limited,DIL,Capital Goods
DCM LTD.,DCM,Castings & Forgings
M.M.FORGINGS LTD.,MMFL,Castings & Forgings
TIRUPATI FORGE,TIRUPATIFL,Castings & Forgings
BHARAT FORGE LTD.,BHARATFORG,Castings & Forgings
CREATIVE CASTINGS LTD,CREATIVE,Castings & Forgings
GANGA FORGING,GANGAFORGE,Castings & Forgings
LGB FORGE LTD.,LGBFORGE,Castings & Forgings
PTC INDUSTRIES LTD,PTCIL,Castings & Forgings
SONA BLW PRECISION FORGINGS LTD,SONACOMS,Castings & Forgings
AIA ENGINEERING LTD.,AIAENG,Castings & Forgings
STEELCAST LTD.,STEELCAS,Castings & Forgings
J.K.CEMENT LTD.,JKCEMENT,Cement - North India
SHREE DIGVIJAY CEMENT CO.LTD.,SHREDIGCEM,Cement - North India
HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,Cement - North India
AMBUJA CEMENTS LTD.,AMBUJACEM,Cement - North India
STAR CEMENT LTD,STARCEMENT,Cement - North India
SHREE CEMENT LTD.,SHREECEM,Cement - North India
ACC LTD.,ACC,Cement - North India
ULTRATECH CEMENT LTD.,ULTRACEMCO,Cement - North India
JK LAKSHMI CEMENT LTD.,JKLAKSHMI,Cement - North India
NCL INDUSTRIES LTD.,NCLIND,Cement - South India
THE RAMCO CEMENTS LIMITED,RAMCOCEM,Cement - South India
DALMIA BHARAT LTD,DALBHARAT,Cement - South India
DECCAN CEMENTS LTD.,DECCANCE,Cement - South India
KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM,Cement - South India
BIGBLOC CONSTRUCTION LTD,BIGBLOC,Cement Products
SAHYADRI INDUSTRIES LTD.,SAHYADRI,Cement Products
EVEREST INDUSTRIES LTD.,EVERESTIND,Cement Products
VISAKA INDUSTRIES LTD.,VISAKAIND,Cement Products
RAMCO INDUSTRIES LTD.,RAMCOIND,Cement Products
HIL LTD.,HIL,Cement Products
KAJARIA CERAMICS LTD.,KAJARIACER,Ceramics - Tiles / Sanitaryware
ORIENT BELL LIMITED,ORIENTBELL,Ceramics - Tiles / Sanitaryware
CERA SANITARYWARE LTD.,CERA,Ceramics - Tiles / Sanitaryware
SOMANY CERAMICS LTD.,SOMANYCERA,Ceramics - Tiles / Sanitaryware
EXXARO TILES LTD,EXXARO,Ceramics - Tiles / Sanitaryware
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR,Chemicals
FOSECO INDIA LTD.,FOSECOIND,Chemicals
NEOGEN CHEMICALS LTD,NEOGEN,Chemicals
ADVANCED ENZYME TECHNOLOGIES LTD,ADVENZYMES,Chemicals
JUBILANT INDUSTRIES LTD.,JUBLINDS,Chemicals
TIDE WATER OIL (INDIA) LTD.,TIDEWATER,Chemicals
TATVA CHINTAN PHARMA CHEM LTD,TATVA,Chemicals
GANESH BENZOPLAST LTD.,GANESHBE,Chemicals
JOCIL,JOCIL,Chemicals
GHCL LTD.,GHCL,Chemicals
TATA CHEMICALS LTD.,TATACHEM,Chemicals
CLEAN SCIENCE AND TECHNOLOGY LTD,CLEAN,Chemicals
LINDE INDIA LIMITED,LINDEINDIA,Chemicals
EXCEL INDUSTRIES LTD.,EXCELINDUS,Chemicals
CASTROL INDIA LTD.,CASTROLIND,Chemicals
LAXMI ORGANIC INDUSTRIES LTD,LXCHEM,Chemicals
CHEMBOND CHEMICALS LTD.,CHEMBOND,Chemicals
FAIRCHEM ORGANICS LTD,FAIRCHEMOR,Chemicals
CHEMCON SPECIALITY CHEMICALS LTD,CHEMCON,Chemicals
GOA CARBON LTD.,GOACARBON,Chemicals
VISHNU CHEMICALS LTD.,VISHNU,Chemicals
AARTI INDUSTRIES LTD.,AARTIIND,Chemicals
AARTI SURFACTANTS LTD,AARTISURF,Chemicals
CHEMPLAST SANMAR LTD,CHEMPLASTS,Chemicals
VINATI ORGANICS LTD.,VINATIORGA,Chemicals
FINE ORGANIC INDUSTRIES LTD,FINEORG,Chemicals
FINEOTEX CHEMICAL LTD.,FCL,Chemicals
VALIANT ORGANICS LTD,VALIANTORG,Chemicals
CHEMFAB ALKALIS LTD,CHEMFAB,Chemicals
JAYANT AGRO-ORGANICS LTD.,JAYAGROGN,Chemicals
NOCIL LTD.,NOCIL,Chemicals
PREMIER EXPLOSIVES LTD.,PREMEXPLN,Chemicals
GULSHAN POLYOLS LTD.,GULPOLY,Chemicals
BALAJI AMINES LTD.,BALAMINES,Chemicals
GP PETROLEUMS LIMITED,GULFPETRO,Chemicals
SREE RAYALASEEMA HI-STRENGTH HYPO LTD.,SRHHYPOLTD,Chemicals
AMINES & PLASTICIZERS LTD.,AMNPLST,Chemicals
DIC INDIA LTD.,DICIND,Chemicals
PUNJAB CHEMICALS AND CROP PROTECTION LTD.,PUNJABCHEM,Chemicals
SOLAR INDUSTRIES INDIA LTD.,SOLARINDS,Chemicals
DIAMINES & CHEMICALS LTD.,DIAMINESQ,Chemicals
HIMADRI SPECIALITY CHEMICAL LTD,HSCL,Chemicals
HINDCON CHEMICAL,HINDCON,Chemicals
DEEPAK NITRITE LTD.,DEEPAKNTR,Chemicals
INDO BORAX & CHEMICALS LTD.,INDOBORAX,Chemicals
I G PETROCHEMICALS LTD.,IGPL,Chemicals
ROSSARI BIOTECH LTD,ROSSARI,Chemicals
PRIVI SPECIALITY CHEMICALS LTD,PRIVISCL,Chemicals
SANGINITA CHEMI.,SANGINITA,Chemicals
ALKALI METALS LTD.,ALKALI,Chemicals
ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,Chemicals
PIDILITE INDUSTRIES LTD.,PIDILITIND,Chemicals
PHILLIPS CARBON BLACK LTD.,PCBL,Chemicals
PODDAR PIGMENTS LTD.,PODDARMENT,Chemicals
PLASTIBLENDS INDIA LTD.,PLASTIBLEN,Chemicals
GUJARAT FLUOROCHEMICALS LTD,FLUOROCHEM,Chemicals
ORIENTAL AROMATICS LTD,OAL,Chemicals
TAMILNADU PETROPRODUCTS LTD.,TNPETRO,Chemicals
GULF OIL LUBRICANTS INDIA LTD,GULFOILLUB,Chemicals
ORIENTAL CARBON & CHEMICALS LTD.,OCCL,Chemicals
BASF INDIA LTD.,BASF,Chemicals
LORDS CHLORO ALKALI LTD.,LORDSCHLO,Chlor Alkali / Soda Ash
GUJARAT ALKALIES & CHEMICALS LTD.,GUJALKALI,Chlor Alkali / Soda Ash
Vishnu Prakash R Punglia Ltd,VPRPL,Civil Construction
Udayshivakumar Infra Ltd,USK,Civil Construction
